source_ip,destination_ip,malicious_domain,flow_label,risk_score,attack_type,protocol
171.25.193.78,10.0.0.42,digilocker-alert.net,ATTACK,82,Web-Attack-SQLi,HTTP
171.25.193.79,10.0.0.43,umang-gov-app-verify.in,ATTACK,80,Botnet-ARES,TCP
185.220.101.36,10.0.0.44,mera-ration-card.com,ATTACK,78,DoS-GoldenEye,UDP
185.220.101.37,10.0.0.45,pm-kisan-helpline.net,ATTACK,76,Infiltration,TCP
185.220.101.38,10.0.0.46,railway-claim-portal.in,ATTACK,90,Web-Attack-XSS,HTTP
185.220.101.39,10.0.0.47,esic-beneficiary-verify.com,ATTACK,88,Brute-Force,SSH
185.220.101.40,10.0.0.48,nps-withdrawal-verify.in,ATTACK,86,PortScan,TCP
185.220.101.41,10.0.0.49,sebi-investor-alert.net,ATTACK,84,Web-Attack-SQLi,HTTP
185.220.101.42,10.0.0.50,rbi-kyc-mandate.com,ATTACK,92,Botnet-ARES,TCP
10.0.0.50,8.8.8.8,,BENIGN,8,BENIGN,DNS
10.0.0.51,8.8.8.8,,BENIGN,6,BENIGN,DNS
10.0.0.52,74.125.24.100,,BENIGN,7,BENIGN,HTTP
10.0.0.53,151.101.1.69,,BENIGN,5,BENIGN,HTTPS
10.0.0.54,140.82.112.4,,BENIGN,9,BENIGN,HTTPS
10.0.0.55,151.101.65.140,,BENIGN,4,BENIGN,HTTP
10.0.0.56,13.107.42.14,,BENIGN,8,BENIGN,HTTPS
10.0.0.57,8.8.4.4,,BENIGN,3,BENIGN,DNS
10.0.0.58,199.232.68.25,,BENIGN,6,BENIGN,HTTP
10.0.0.59,104.21.55.100,,BENIGN,5,BENIGN,HTTPS
